spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
2,10717,0.38864172252486295,0.6828071786018927,156,true,false,true,false,lz4,84,8,org.apache.spark.serializer.KryoSerializer,196937
3,12550,0.5402926646099779,0.15612134326533758,148,false,false,false,true,lzf,12,19,org.apache.spark.serializer.JavaSerializer,197279
3,12538,0.10919221991093862,0.751354379243956,156,true,false,false,true,snappy,28,57,org.apache.spark.serializer.KryoSerializer,204468
3,8377,0.6234035711744662,0.4124846941036061,11,true,false,true,true,lz4,50,56,org.apache.spark.serializer.KryoSerializer,223543
2,16461,0.33231256633938044,0.7814623661391393,92,true,false,false,true,lz4,34,21,org.apache.spark.serializer.JavaSerializer,215965
4,15477,0.22948023699380915,0.8659276223264942,54,true,true,true,false,snappy,40,54,org.apache.spark.serializer.KryoSerializer,205958
4,8678,0.13830881313476145,0.8249080639597842,115,true,false,true,false,snappy,75,63,org.apache.spark.serializer.JavaSerializer,214568
3,8478,0.41451579586907905,0.8807681947306467,19,false,true,false,true,snappy,54,13,org.apache.spark.serializer.KryoSerializer,222964
1,17175,0.8457270267413629,0.8095085091474378,29,false,true,false,true,lzf,49,49,org.apache.spark.serializer.JavaSerializer,295679
4,18916,0.5322865359793675,0.7511371584398956,97,true,true,true,true,snappy,75,27,org.apache.spark.serializer.JavaSerializer,203463
2,5762,0.46767997126111405,0.6422590798539095,122,true,false,false,false,lzf,96,34,org.apache.spark.serializer.KryoSerializer,204578
2,18176,0.4283304538266659,0.7802367749800541,13,true,true,true,false,lzf,74,21,org.apache.spark.serializer.KryoSerializer,253306
3,20317,0.8786864054664701,0.7376351480369188,134,true,false,false,true,snappy,82,17,org.apache.spark.serializer.KryoSerializer,236476
1,13827,0.20010135224216558,0.7993790704266382,40,true,true,false,false,lzf,23,56,org.apache.spark.serializer.JavaSerializer,344286
3,14219,0.5997882749995317,0.7555488790516843,46,true,true,false,true,lz4,43,30,org.apache.spark.serializer.KryoSerializer,183077
1,16927,0.5882271434667385,0.4157159301658395,131,false,false,true,true,lz4,19,61,org.apache.spark.serializer.KryoSerializer,275832
4,15296,0.7526763106686526,0.212705978611589,148,false,true,true,false,snappy,17,42,org.apache.spark.serializer.JavaSerializer,173106
1,10028,0.6242219322303824,0.2727650432465545,33,false,true,false,false,snappy,18,52,org.apache.spark.serializer.KryoSerializer,246998
4,13745,0.16494072812068322,0.8476527817107002,190,false,false,true,true,snappy,82,17,org.apache.spark.serializer.KryoSerializer,196976
4,9572,0.7766381097921223,0.6205765286500352,17,false,true,false,true,snappy,44,12,org.apache.spark.serializer.KryoSerializer,228586
2,14198,0.45247397408873236,0.8177245460631802,182,true,true,false,true,lzf,23,30,org.apache.spark.serializer.JavaSerializer,241063
3,16244,0.16269692726048027,0.830422715341558,212,true,true,false,true,snappy,26,15,org.apache.spark.serializer.JavaSerializer,179060
3,8677,0.48471130233742143,0.5709358094130165,146,true,true,false,false,snappy,88,50,org.apache.spark.serializer.JavaSerializer,201697
1,7934,0.19769824522801038,0.18967937202356852,166,true,false,true,true,lzf,34,62,org.apache.spark.serializer.KryoSerializer,231640
3,19930,0.5388815744100718,0.807707023433751,62,true,true,true,false,snappy,66,46,org.apache.spark.serializer.JavaSerializer,205615
4,11164,0.6591630828393933,0.5854945760239996,28,true,true,true,true,lzf,14,26,org.apache.spark.serializer.KryoSerializer,222986
3,4287,0.3769235981856949,0.6648933977185447,164,true,true,true,false,lzf,10,15,org.apache.spark.serializer.JavaSerializer,211547
4,4407,0.7609681449335007,0.746281296043507,42,true,true,false,true,lz4,82,51,org.apache.spark.serializer.KryoSerializer,169226
1,13824,0.30679730839104546,0.24562278755232658,77,true,true,true,true,lzf,33,15,org.apache.spark.serializer.KryoSerializer,336030
3,15151,0.3947945733296475,0.6833211376784607,157,true,false,false,false,lz4,53,22,org.apache.spark.serializer.KryoSerializer,176236
1,19939,0.15867414136957045,0.4273530230246476,40,true,true,true,false,snappy,88,59,org.apache.spark.serializer.KryoSerializer,348437
1,15494,0.7698995758370412,0.6230617468870618,76,true,true,false,false,snappy,51,32,org.apache.spark.serializer.JavaSerializer,342683
2,7751,0.8149507383757408,0.298688138679883,137,false,true,false,true,lzf,8,15,org.apache.spark.serializer.KryoSerializer,177973
2,14717,0.799377014293791,0.6213677359265593,117,true,false,false,true,lz4,75,12,org.apache.spark.serializer.JavaSerializer,220175
4,4855,0.8405580116394202,0.7148549305162211,42,false,true,false,true,lzf,39,9,org.apache.spark.serializer.JavaSerializer,175402
4,18141,0.746177598298016,0.5289598539080049,174,true,true,true,true,lzf,47,36,org.apache.spark.serializer.KryoSerializer,200687
3,16664,0.7873747272598124,0.48766200105999125,134,true,false,false,true,snappy,85,33,org.apache.spark.serializer.KryoSerializer,211156
4,19359,0.27649993682225543,0.16993407229570306,117,true,false,false,false,lz4,23,43,org.apache.spark.serializer.KryoSerializer,187551
3,17414,0.642065614009744,0.4391545837156786,155,true,false,true,true,lz4,41,58,org.apache.spark.serializer.JavaSerializer,208266
4,6275,0.11770672060250353,0.5028855137803303,207,false,true,false,false,lzf,26,51,org.apache.spark.serializer.JavaSerializer,184708
4,17973,0.8984691410557107,0.5830527109806353,8,true,true,true,false,snappy,78,60,org.apache.spark.serializer.JavaSerializer,245508
2,15073,0.5279673001153359,0.3840852875620884,90,false,false,false,false,snappy,28,50,org.apache.spark.serializer.KryoSerializer,224051
3,6334,0.6052294913495502,0.8749001784088684,28,false,false,false,true,lz4,62,16,org.apache.spark.serializer.JavaSerializer,192314
3,10188,0.21959432410809213,0.2796138778822709,202,true,true,true,true,snappy,26,54,org.apache.spark.serializer.KryoSerializer,186252
4,15251,0.3072374623558305,0.5224584936062241,68,false,true,true,true,lzf,19,24,org.apache.spark.serializer.JavaSerializer,197972
4,13549,0.738285650826786,0.7973437898607486,113,true,false,false,true,lz4,17,32,org.apache.spark.serializer.KryoSerializer,198245
2,15293,0.8886687850448437,0.20234277560931277,62,true,false,false,false,snappy,18,11,org.apache.spark.serializer.JavaSerializer,243512
4,4610,0.26730138535907877,0.556823463077078,101,true,true,true,true,lzf,13,63,org.apache.spark.serializer.JavaSerializer,189538
1,18051,0.7433537176155985,0.3302859494486996,94,true,true,true,true,snappy,59,47,org.apache.spark.serializer.KryoSerializer,340200
3,6659,0.33353478140378523,0.8197642608547321,134,false,true,false,false,lz4,19,19,org.apache.spark.serializer.JavaSerializer,157827
1,8871,0.77236354998158,0.5198408341085167,42,false,false,false,true,lz4,21,42,org.apache.spark.serializer.KryoSerializer,216739
2,4535,0.10996210359683244,0.6873238987608551,67,true,true,true,false,lzf,53,43,org.apache.spark.serializer.KryoSerializer,239716
2,7054,0.5470482032184306,0.13997836502640792,106,false,false,false,false,snappy,47,12,org.apache.spark.serializer.JavaSerializer,186517
2,13620,0.4795879757878363,0.17786154480072025,61,true,true,false,false,snappy,80,61,org.apache.spark.serializer.KryoSerializer,239349
2,15605,0.41744645248388323,0.552830453421323,24,true,true,false,false,lz4,41,16,org.apache.spark.serializer.JavaSerializer,225257
1,17025,0.6980001444844535,0.6465724645812998,168,false,false,true,true,snappy,49,27,org.apache.spark.serializer.KryoSerializer,282079
1,5608,0.5427949041118896,0.472294501552202,15,true,true,true,true,snappy,45,10,org.apache.spark.serializer.KryoSerializer,233981
4,12907,0.23955950126010858,0.46975174654689467,207,true,true,true,true,snappy,70,57,org.apache.spark.serializer.KryoSerializer,191736
4,12886,0.36518302596142105,0.275254714815096,22,false,false,true,true,lzf,16,49,org.apache.spark.serializer.JavaSerializer,212536
4,10457,0.7283712923176883,0.4496291135403997,127,true,true,true,true,snappy,49,44,org.apache.spark.serializer.JavaSerializer,215025
1,14737,0.5373449344697226,0.7712650153228927,39,false,true,false,false,snappy,19,26,org.apache.spark.serializer.KryoSerializer,261637
1,19605,0.46404601706197923,0.49158617779163394,130,true,false,true,false,lzf,57,18,org.apache.spark.serializer.KryoSerializer,348557
1,19866,0.622778936291651,0.2000855855270113,209,true,true,true,false,lzf,31,61,org.apache.spark.serializer.JavaSerializer,312551
3,19282,0.8763220791317385,0.5082801845800319,15,false,false,true,true,snappy,43,15,org.apache.spark.serializer.JavaSerializer,204511
2,5871,0.36718783575829783,0.5398740864351685,151,true,false,false,true,snappy,71,22,org.apache.spark.serializer.KryoSerializer,257654
4,19785,0.8222294171010535,0.6341818211915753,167,false,true,true,true,snappy,56,52,org.apache.spark.serializer.KryoSerializer,184120
3,12120,0.20586053245628913,0.2789368760520915,62,false,true,true,true,lz4,19,16,org.apache.spark.serializer.JavaSerializer,219312
1,12025,0.7852524398062505,0.8102017409413499,144,true,true,false,false,lz4,89,24,org.apache.spark.serializer.JavaSerializer,315841
2,10771,0.7079394232334667,0.7854249639574461,108,true,true,false,false,snappy,82,57,org.apache.spark.serializer.JavaSerializer,229106
1,4388,0.3667497866146642,0.2524668009292821,192,true,false,false,false,lzf,70,11,org.apache.spark.serializer.KryoSerializer,203978
3,15055,0.2610788492910581,0.4057625207180904,23,false,false,true,true,lz4,86,43,org.apache.spark.serializer.JavaSerializer,232346
1,19686,0.5543883876077723,0.8372656320591166,12,true,false,false,true,snappy,28,9,org.apache.spark.serializer.KryoSerializer,409594
3,5468,0.7648602305816864,0.8526049028107234,92,true,true,true,false,lz4,91,45,org.apache.spark.serializer.KryoSerializer,186707
1,5782,0.21747277664687453,0.16324306530704372,98,true,true,true,true,lz4,29,34,org.apache.spark.serializer.JavaSerializer,186008
