spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
3,16897,0.4382847682871791,0.8425249930313157,84,false,true,false,true,lz4,57,38,org.apache.spark.serializer.JavaSerializer,299978
3,20450,0.7276353871174489,0.4656740044485098,139,true,true,true,true,lz4,70,16,org.apache.spark.serializer.JavaSerializer,301541
1,12951,0.7934163300881248,0.5747964880887911,164,true,true,true,false,lzf,46,33,org.apache.spark.serializer.JavaSerializer,671288
3,18228,0.24692953028153497,0.23552544750305301,82,true,false,true,false,snappy,43,29,org.apache.spark.serializer.KryoSerializer,823018
3,10534,0.651975535315925,0.488997501897233,135,true,false,true,true,lz4,37,27,org.apache.spark.serializer.JavaSerializer,298901
4,13996,0.7899746511887966,0.6885368547990254,138,true,true,true,false,lz4,15,19,org.apache.spark.serializer.KryoSerializer,235010
2,12167,0.6169708888397707,0.37674984414733204,64,true,true,true,true,snappy,54,55,org.apache.spark.serializer.JavaSerializer,369212
1,9351,0.7321606987016863,0.1346710663303985,126,true,false,false,true,snappy,62,54,org.apache.spark.serializer.KryoSerializer,370450
1,16122,0.3763092564754301,0.7499732564172591,135,false,false,false,false,snappy,72,61,org.apache.spark.serializer.JavaSerializer,706199
4,16811,0.7519827069428694,0.4568141935695452,107,false,true,false,false,lz4,64,62,org.apache.spark.serializer.JavaSerializer,273573
2,11554,0.13054715887215196,0.47513710312657353,198,true,true,true,false,lz4,19,12,org.apache.spark.serializer.JavaSerializer,1989822
3,7361,0.14330616298697293,0.27832585403124743,36,false,true,true,true,lz4,78,35,org.apache.spark.serializer.KryoSerializer,1500208
2,5438,0.2840765989072028,0.3115938256239681,10,false,false,true,false,lzf,14,10,org.apache.spark.serializer.JavaSerializer,901513
4,17296,0.37374746364366607,0.6705666781450009,29,false,true,false,false,lz4,83,23,org.apache.spark.serializer.KryoSerializer,242198
1,19847,0.6875072803997548,0.14269734279395385,207,true,false,false,false,snappy,84,9,org.apache.spark.serializer.JavaSerializer,677688
4,17064,0.3616448227947594,0.16327647991837885,199,true,false,true,true,lz4,55,44,org.apache.spark.serializer.KryoSerializer,284116
2,8927,0.37418784106527947,0.619860415359865,208,false,false,false,false,snappy,90,23,org.apache.spark.serializer.JavaSerializer,268347
2,13214,0.6088831371374996,0.8547320040294879,56,true,true,false,true,lz4,69,52,org.apache.spark.serializer.JavaSerializer,407950
4,7545,0.37347004979387466,0.5118789829091512,68,false,true,true,true,lzf,65,10,org.apache.spark.serializer.JavaSerializer,965697
2,12025,0.8372162424411593,0.15845758567158033,211,false,false,true,false,lzf,26,10,org.apache.spark.serializer.KryoSerializer,386384
4,16754,0.4601598510287356,0.30629740382226356,43,false,true,true,false,snappy,51,52,org.apache.spark.serializer.KryoSerializer,248822
2,19595,0.8562571870504672,0.10038593174794813,199,true,true,false,false,snappy,67,25,org.apache.spark.serializer.KryoSerializer,396688
3,11146,0.39870900983773716,0.8108196935737962,46,true,true,false,true,snappy,45,45,org.apache.spark.serializer.JavaSerializer,843253
