XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,50,200,FALSE,10000,TRUE,1024,7525.020694
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,250,100,200,FALSE,10000,TRUE,1024,3550.001775
64,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,10,100,TRUE,10000,FALSE,1024,6217.230017
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,250,100,100,FALSE,10000,TRUE,1024,2982.225933
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,100,500,100,50,TRUE,10000,TRUE,2048,4441.023212
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,50,50,TRUE,10000,TRUE,2048,5837.257267
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,250,10,200,TRUE,10000,FALSE,1024,5369.319707
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,500,100,50,TRUE,10000,FALSE,1024,5384.063173
64,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,250,100,200,TRUE,10000,TRUE,1024,6254.299831
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,500,10,200,FALSE,10000,FALSE,2048,6126.57504
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,250,100,50,TRUE,10000,TRUE,2048,6180.597046
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,250,10,200,FALSE,10000,TRUE,2048,3441.393076
64,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,1000,100,250,10,100,FALSE,10000,FALSE,1024,6969.126768
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,1000,100,500,10,50,TRUE,10000,FALSE,2048,7353.842383
64,64,128,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,250,100,50,TRUE,10000,FALSE,1024,5830.337188
256,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,500,100,100,TRUE,10000,FALSE,1024,4315.553254
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,1000,100,500,50,50,FALSE,10000,TRUE,2048,6180.597046
64,128,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,500,50,100,TRUE,10000,TRUE,1024,3475.118154
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,100,100,FALSE,10000,FALSE,2048,6319.647785
